id,artist,title,price,label,labelnum,quantity,pic,created_at,updated_at
109,ELVIS COSTELLO,ARMED FORCES (180 GRAM),12.9,UME,231920,1,,,
110,ELVIS COSTELLO AND THE ATTRACTIONS,GET HAPPY!! (2 LP'S ON 180 GRAM),12.9,UNIV,33110,1,,,
111,ELVIS COSTELLO,MY AIM IS TRUE (180 GRAM VINYL),12.9,RHI,74285,1,,,
112,ELVIS COSTELLO AND THE ATTRACTIONS,TRUST (180 GRAM),11.9,UNIV,33120,1,,,
113,ELVIS PRESLEY,ELVIS' GOLDEN RECORDS VOLUME 3 (180 GRAM),10,SMVNL,67464,1,,,
114,ELVIS PRESLEY,ELVIS' GOLD RECORDS VOLUME 4 (180 GRAM),10,SMVNL,67465,1,,,
115,ELVIS PRESLEY,ELVIS' GOLD RECORDS VOLUME 5 (180 GRAM),10,SMVNL,67466,1,,,
116,ELVIS PRESLEY,ELVIS PRESLEY,12,SMVNL,342,1,,,
117,ERIC CLAPTON (9 LP BOX SET 180 GRAM),THE STUDIO ALBUM COLLECTIOON 1970-1981,99,POLY,4750277,1,,,
118,EXPERIENCE UNLIMITED,FREE YOURSELF,7,BLFR,19757,1,,,
119,F.M.,QUEEN / BOB SEGER / TOM PETTY / EAGLES (2 LP'S),8,MCA,12000,1,,,
120,FAMILY,THE FAMILY (NOTHING COMPARES 2 U / SCREAMS OF PASS,8,PSP,25322,1,,,
121,FLEETWOOD MAC,RUMOURS,14.9,REPR,517786,1,,,
122,FRANK STOKES' DREAM,THE MEMPHIS BLUES 1927 - 1931 (180 GRAM),10,YAZ,1008,1,,,
123,FREDDIE KING,FREDDIE KING IS A BLUES MASTER,10.5,COTI,9004,1,,,
124,FURRY LEWIS,IN HIS PRIME 1927 - 1928 (180 GRAM),10,YAZ,1050,1,,,
125,GANG OF FOUR,ENTERTAINMENT (2 LP'S COLOR),10.9,LTEV,212C,1,,,
126,GENE VINCENT,SOUNDS LIKE GENE VINCENT,8,CAP,1207,1,,,
127,GRAHAM NASH,SONGS FOR BEGINNERS (2 180 GRAM LP'S),9,RHI,7204,1,,,
128,GRAM PARSONS,THE EARLY YEARS 1963 - 1965,7,SIERR,8702,1,,,
129,GRAM PARSONS,THE EARLY YEARS 1963 - 1965 (180 GRAM),8,SIERR,8702H,1,,,
130,GRANDMASTER FLASH & THE FURIOUS FIVE,THE MESSAGE,10.5,SUH,268,1,,,
131,GRANDMASTER FLASH & THE FURIOUS FIVE,THE MESSAGE (COLORED VINYL),11.5,SUH,268C,1,,,
132,GRANDMASTER FLASH & THE FURIOUS FIVE,THE MESSAGE (180 GRAM),12.5,SUH,268H,1,,,
133,GRANDMASTER FLASH & THE FURIOUS FIVE,THE MESSAGE (180 GRAM COLOR ),13.5,SUH,268HC,1,,,
134,HARMONICA BLUES (CRUMB COVER),GREAT HARMONICA PERFORMANCES OF THE 20'S AND 30'S,10,YAZ,1053,1,,,
135,HARRY PARTCH,DELUSION OF THE FURY (2 LP'S - 180 GRAM),15,COLUM,749311,1,,,
136,HARRY PARTCH,THE WORLD OF HARRY PARTCH (180 GRAM),9.5,COLUM,7207,1,,,
137,HARVEY AVERNE DOZEN,VIVA SOUL,10.5,ATL,8168,1,,,
138,HEAD SHOP,THE HEAD SHOP (180 GRAM VINYL),11.5,EPIC,510122,1,,,
139,HENRY THOMAS,COMPLETE RECORDED WORKS 1927 - 1929 - TEXAS WORRIED BLUES,10,YAZ,1080,1,,,
140,HERBIE HANCOCK,THRUST (180 GRAM PRESSING),13,COLUM,32965,1,,,
141,HERMAN KELLY & LIFE,PERCUSSION EXPLOSION,8,ELEC,225,1,,,
142,HOKUM BOYS (CRUMB COVER),YOU CAN'T GET ENOUGH OF THAT  STUFF (180 GRAM),10,YAZ,1051,1,,,
143,HOLLIES,EVOLUTION (180 GRAM),11.5,EPIC,26315,1,,,
144,HOLLIES,THE HOLLIES' GREATEST HITS (180 GRAM),11.5,EPIC,32061,1,,,
